transaction_id,amount_eur,merchant_country,issuer_country,cross_border,device_type,browser_type,merchant_category,card_scheme,returning_user,tokenized,passkey_available,exemption_possible,previous_soft_decline,previous_challenge_success,failed_auth_attempts_30d,issuer_behavior,risk_score_label,friction_score_label,approved,abandoned,fraud_flag,device_type_encoded,browser_type_encoded,merchant_category_encoded,card_scheme_encoded,issuer_behavior_encoded,risk_proxy,friction_proxy,pred_approval_proba,pred_abandon_proba,pred_fraud_proba,recommended_strategy,decision_reason,strategy_cost_score,business_value_score
TX_0000001,103.28,IT,ES,1,desktop,firefox,marketplace,amex,0,0,1,0,0,0,0,strict,29.8,21.0,1,0,0,1,2,0,2,2,6,2,63.53,38.76,44.5,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,4.5
TX_0000002,27.47,UK,UK,0,desktop,edge,saas,amex,0,0,1,0,1,1,0,neutral,22.0,13.0,0,0,0,1,3,1,2,1,8,2,27.88,33.09,38.58,SOFT_DECLINE_RETRY_WITH_AUTH,Retrying after previous soft decline with stronger auth,45,-7.94
TX_0000003,121.96,BE,NL,1,mobile,safari,marketplace,mc,1,0,0,1,0,0,0,friendly,21.2,13.0,1,1,0,0,1,0,1,0,4,3,51.38,47.14,50.21,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-4.21
TX_0000004,89.05,BE,UK,1,desktop,firefox,retail,visa,1,1,1,0,0,0,1,neutral,19.0,8.0,1,0,1,1,2,3,0,1,5,0,73.09,2.43,47.02,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,17.38
TX_0000005,57.26,UK,NL,1,mobile,app_webview,marketplace,visa,1,1,0,0,0,0,0,strict,24.8,29.0,1,1,1,0,4,0,0,2,2,6,65.23,57.37,60.45,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-2.58
TX_0000006,13.25,IT,ES,1,mobile,safari,marketplace,mc,1,1,0,0,0,1,0,strict,20.8,21.0,0,0,0,0,1,0,1,2,2,3,67.9,44.54,32.68,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,10.88
TX_0000007,162.95,NL,UK,1,desktop,safari,saas,visa,0,1,1,1,0,1,1,neutral,32.0,16.0,1,0,0,1,1,1,0,1,7,2,65.92,31.58,39.62,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,11.85
TX_0000008,70.64,IT,FR,1,mobile,chrome,travel,visa,1,1,0,1,0,0,0,neutral,24.0,13.0,1,0,0,0,0,2,0,1,2,3,57.22,56.02,42.48,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-2.25
TX_0000009,103.81,FR,FR,0,mobile,safari,subscriptions,mc,1,1,0,0,0,1,2,neutral,22.0,13.0,1,0,0,0,1,4,1,1,6,3,73.4,32.8,20.78,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,18.67
TX_0000010,101.84,BE,BE,0,desktop,chrome,subscriptions,visa,1,0,0,0,0,0,1,neutral,17.0,8.0,1,0,0,1,0,4,0,1,5,1,74.17,19.86,24.78,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,21.46
TX_0000011,57.7,DE,ES,1,tablet,app_webview,retail,mc,0,1,0,0,0,0,0,neutral,28.0,21.0,1,0,0,2,4,3,1,1,4,6,69.81,51.67,40.89,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,8.32
TX_0000012,184.06,FR,UK,1,mobile,chrome,retail,mc,1,1,0,0,0,1,0,friendly,25.2,16.0,1,0,1,0,0,3,1,0,2,3,72.71,42.63,43.21,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,11.42
TX_0000013,82.08,UK,BE,1,desktop,chrome,retail,mc,0,1,1,0,0,0,0,neutral,24.0,13.0,0,0,0,1,0,3,1,1,4,2,47.99,33.08,48.49,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-1.87
TX_0000014,71.57,IT,IT,0,desktop,chrome,marketplace,visa,0,0,0,0,0,0,0,friendly,20.2,13.0,0,0,0,1,0,0,0,0,4,3,36.58,39.28,43.7,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-7.6
TX_0000015,75.24,BE,IT,1,desktop,safari,saas,visa,1,0,0,0,0,0,1,friendly,21.2,8.0,1,0,1,1,1,1,0,0,7,1,57.81,39.89,53.61,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-0.18
TX_0000016,188.72,DE,DE,0,mobile,app_webview,marketplace,visa,1,1,1,1,0,1,0,neutral,25.0,24.0,1,0,0,0,4,0,0,1,0,5,89.34,20.54,30.68,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,26.93
TX_0000017,85.01,BE,UK,1,mobile,chrome,marketplace,visa,1,1,1,1,0,1,1,strict,20.8,21.0,1,0,0,0,0,0,0,2,5,2,76.47,41.43,35.04,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,15.05
TX_0000018,18.37,DE,UK,1,desktop,firefox,retail,visa,1,1,0,0,0,0,0,friendly,17.2,8.0,1,0,0,1,2,3,0,0,2,1,71.57,20.76,35.83,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,17.85
TX_0000019,1.5,ES,DE,1,mobile,chrome,retail,visa,0,0,0,1,0,0,0,strict,29.8,26.0,1,0,0,0,0,3,0,2,6,5,29.8,57.53,54.91,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-17.45
TX_0000020,144.38,FR,NL,1,desktop,app_webview,marketplace,mc,1,0,1,0,0,0,1,neutral,27.0,16.0,0,0,0,1,4,0,1,1,7,3,54.35,33.54,47.38,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,1.1
TX_0000021,12.01,FR,FR,0,desktop,chrome,travel,mc,1,1,0,0,0,0,1,friendly,16.2,8.0,1,0,0,1,0,2,1,0,3,1,84.85,21.4,23.96,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,26.04
TX_0000022,50.74,NL,BE,1,mobile,app_webview,retail,visa,1,1,1,1,0,0,0,neutral,23.0,21.0,1,0,0,0,4,3,0,1,2,5,72.05,48.07,32.51,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,11.9
TX_0000023,135.66,FR,ES,1,tablet,firefox,subscriptions,visa,0,0,1,0,0,1,0,strict,29.8,21.0,1,0,0,2,2,4,0,2,6,2,72.58,31.07,37.97,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,15.3
TX_0000024,111.38,ES,US,1,desktop,chrome,subscriptions,mc,1,0,1,0,0,0,0,strict,24.8,16.0,1,0,1,1,0,4,1,2,4,0,57.71,5.53,53.59,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,8.37
TX_0000025,96.81,BE,NL,1,desktop,firefox,marketplace,visa,1,0,0,1,0,1,2,neutral,32.0,8.0,0,1,1,1,2,0,0,1,10,1,41.45,56.89,56.91,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-12.45
TX_0000026,166.22,ES,BE,1,desktop,chrome,retail,visa,1,0,0,0,1,0,0,strict,32.8,19.0,0,0,1,1,0,3,0,2,8,1,27.97,26.69,67.03,SOFT_DECLINE_RETRY_WITH_AUTH,Retrying after previous soft decline with stronger auth,45,-11.99
TX_0000027,52.97,DE,US,1,mobile,edge,retail,mc,1,0,0,0,0,0,1,neutral,23.0,13.0,1,0,1,0,3,3,1,1,7,3,50.34,46.25,50.96,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-4.6
TX_0000028,89.16,UK,DE,1,mobile,safari,retail,mc,1,1,1,0,0,1,0,neutral,19.0,13.0,1,0,0,0,1,3,1,1,2,2,69.65,35.8,40.31,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,12.33
TX_0000029,60.58,ES,BE,1,desktop,chrome,retail,mc,1,0,0,0,0,0,1,neutral,23.0,8.0,0,0,0,1,0,3,1,1,7,1,50.06,31.34,48.88,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-0.58
TX_0000030,124.94,UK,UK,0,mobile,chrome,saas,visa,1,0,1,0,0,0,0,neutral,17.0,13.0,1,0,0,0,0,1,0,1,2,2,71.7,29.97,35.05,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,15.76
TX_0000031,230.22,ES,UK,1,mobile,firefox,retail,visa,0,1,1,0,0,1,2,strict,42.8,29.0,0,1,0,0,2,3,0,2,10,4,40.56,65.77,33.84,PASSKEY,"High friction risk, passkey available to reduce abandonment",18,-6.76
TX_0000032,58.45,DE,FR,1,desktop,safari,saas,visa,1,0,1,1,0,0,0,neutral,23.0,8.0,1,0,0,1,1,1,0,1,4,0,55.32,10.99,48.27,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,6.99
TX_0000033,99.86,ES,BE,1,desktop,edge,marketplace,visa,1,1,0,0,0,0,0,strict,20.8,16.0,1,0,0,1,3,0,0,2,2,1,64.69,29.73,36.23,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,8.93
TX_0000034,31.67,FR,ES,1,desktop,firefox,marketplace,visa,1,1,0,1,0,0,0,friendly,17.2,8.0,1,0,0,1,2,0,0,0,2,1,66.33,23.23,30.67,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,15.91
